title,simulado
Bronquiolite viral,"Lactente de 4 meses com coriza há 3 dias evolui com tosse, sibilos, tiragem subcostal e SatO2 89%. Está mamando pouco. Qual a conduta mais adequada?
A) Salbutamol e corticoide de rotina
B) Oxigênio se hipoxemia, suporte, hidratação e avaliar internação
C) Antibioticoterapia para todos
D) RX obrigatório antes de qualquer conduta
Resposta correta: B
Explicação: Bronquiolite típica é tratada com suporte. Hipoxemia e baixa ingesta indicam maior gravidade."
Pneumonia adquirida na comunidade,"Criança de 3 anos com febre, tosse, taquipneia e crepitações, bom estado geral, SatO2 97% e aceitando via oral. Suspeita de pneumonia bacteriana ambulatorial. Qual opção é mais adequada?
A) Amoxicilina VO conforme peso e retorno em 48-72h
B) Ceftriaxona obrigatória em todos
C) Nenhum retorno se a febre persistir
D) Macrolídeo isolado sempre
Resposta correta: A
Explicação: Amoxicilina é primeira linha frequente para PAC bacteriana ambulatorial, com reavaliação."
Influenza pediátrica,"Lactente de 18 meses com síndrome gripal há 72h evolui com hipoxemia e pneumonia. Teste para influenza ainda não saiu. Qual conduta é correta?
A) Aguardar teste para iniciar antiviral
B) Oseltamivir e suporte, pois é caso grave/grupo de risco
C) AAS para febre
D) Antiviral é inútil após 48h em qualquer situação
Resposta correta: B
Explicação: Em hospitalizados, graves ou grupos de risco, antiviral não deve ser atrasado pelo teste e pode ser indicado mesmo após 48h."
SRAG pediátrica,"Criança com febre e tosse chega com tiragem intensa, cianose perioral e SatO2 86%. Qual a prioridade?
A) Definir o vírus antes de tratar
B) Oxigênio imediato, avaliação ABCDE e suporte respiratório
C) Alta com antitérmico
D) Antitussígeno
Resposta correta: B
Explicação: SRAG é síndrome de gravidade; suporte respiratório vem antes da etiologia definitiva."
Meningite bacteriana,"Criança febril com rigidez de nuca, petéquias e rebaixamento. TC atrasará por 2 horas. Qual conduta é correta?
A) Esperar TC para iniciar antibiótico
B) Coletar culturas se possível e iniciar antibiótico EV imediatamente
C) Tratar como convulsão febril simples
D) Alta após antitérmico
Resposta correta: B
Explicação: Suspeita de meningite bacteriana/meningococcemia exige antibiótico imediato; exames não devem atrasar tratamento."
Dengue pediátrica,"Escolar no 5º dia de febre por dengue começa com dor abdominal intensa, vômitos persistentes e letargia. Plaquetas caíram e hematócrito subiu. Qual conduta?
A) Alta porque a febre está baixando
B) Internar, hidratar conforme protocolo e monitorar choque
C) Ibuprofeno para dor
D) Antibiótico obrigatório
Resposta correta: B
Explicação: Sinais de alarme ocorrem frequentemente na defervescência e exigem hidratação/monitorização."
Tuberculose pediátrica,"Criança assintomática, contato domiciliar de adulto bacilífero, RX normal e prova tuberculínica positiva. Conduta provável após excluir doença ativa?
A) Tratar infecção latente por tuberculose
B) Apenas antitérmico
C) Corticoide oral
D) Alta sem seguimento
Resposta correta: A
Explicação: Contato com TB bacilífera exige investigação e tratamento de ILTB quando indicado."
HIV exposto neonatal,"RN de mãe com HIV e carga viral desconhecida no parto nasce bem. Qual conduta é correta no Brasil?
A) Liberar aleitamento se RN assintomático
B) Iniciar profilaxia antirretroviral conforme risco e contraindicar amamentação
C) Diagnosticar HIV por sorologia isolada
D) Esperar 30 dias para iniciar profilaxia
Resposta correta: B
Explicação: RN exposto precisa profilaxia precoce, sem amamentação e diagnóstico virológico no seguimento."
Coqueluche,"Lactente de 2 meses com crises de tosse, cianose e apneia, contato domiciliar tossidor. Qual conduta é adequada?
A) Antitussígeno e alta
B) Isolamento, azitromicina, avaliar internação e profilaxia de contatos
C) Corticoide como tratamento principal
D) Aguardar guincho para suspeitar
Resposta correta: B
Explicação: Lactentes podem ter apneia sem guincho típico. Coqueluche exige isolamento, macrolídeo e manejo dos contatos."
Vacinação PNI x SBP,"Criança com calendário vacinal atrasado comparece à consulta. Qual regra geral?
A) Reiniciar todas as vacinas
B) Completar o esquema respeitando intervalos mínimos
C) Suspender vacinação
D) Fazer apenas sorologias
Resposta correta: B
Explicação: Esquemas atrasados geralmente não são reiniciados."
